0: Distance:  1200.0000, Angle:   190.0000, Votes:        388
1: Distance:  1185.0000, Angle:   190.0000, Votes:        383
2: Distance:  2655.0000, Angle:   100.0000, Votes:        324
3: Distance:  1200.0000, Angle:   195.0000, Votes:        309
4: Distance:  2145.0000, Angle:    10.0000, Votes:        298
5: Distance:  2160.0000, Angle:    10.0000, Votes:        297
6: Distance:  1185.0000, Angle:   195.0000, Votes:        214
7: Distance:  2175.0000, Angle:    10.0000, Votes:        203
8: Distance:  2145.0000, Angle:     5.0000, Votes:        195
9: Distance:  1215.0000, Angle:   190.0000, Votes:        189
10: Distance:  2670.0000, Angle:   100.0000, Votes:        178
11: Distance:  1170.0000, Angle:   190.0000, Votes:        178
12: Distance:  2640.0000, Angle:   100.0000, Votes:        163
13: Distance:  1170.0000, Angle:   195.0000, Votes:        161
14: Distance:  2130.0000, Angle:    10.0000, Votes:        154
15: Distance:  2190.0000, Angle:    10.0000, Votes:        144
16: Distance:  1155.0000, Angle:   195.0000, Votes:        119
17: Distance:  2130.0000, Angle:     5.0000, Votes:        119
18: Distance:  1230.0000, Angle:   190.0000, Votes:        117
19: Distance:  1140.0000, Angle:   195.0000, Votes:        110
20: Distance:  2205.0000, Angle:    10.0000, Votes:        105
21: Distance:  1230.0000, Angle:   185.0000, Votes:        105
22: Distance:  2115.0000, Angle:     5.0000, Votes:         98
23: Distance:  2625.0000, Angle:   100.0000, Votes:         96
24: Distance:  1200.0000, Angle:   185.0000, Votes:         96
25: Distance:  1185.0000, Angle:   200.0000, Votes:         95
26: Distance:  2160.0000, Angle:     5.0000, Votes:         95
27: Distance:  1215.0000, Angle:   195.0000, Votes:         93
28: Distance:  1245.0000, Angle:   185.0000, Votes:         91
29: Distance:  2100.0000, Angle:    15.0000, Votes:         91
30: Distance:  1215.0000, Angle:   200.0000, Votes:         91
31: Distance:  1155.0000, Angle:   190.0000, Votes:         89
32: Distance:  1125.0000, Angle:   195.0000, Votes:         88
33: Distance:  1185.0000, Angle:   185.0000, Votes:         87
34: Distance:  2085.0000, Angle:    15.0000, Votes:         84
35: Distance:  2070.0000, Angle:    15.0000, Votes:         82
36: Distance:  1200.0000, Angle:   200.0000, Votes:         81
37: Distance:  1230.0000, Angle:   200.0000, Votes:         81
38: Distance:  2100.0000, Angle:     5.0000, Votes:         81
39: Distance:  2700.0000, Angle:    95.0000, Votes:         79
40: Distance:  2115.0000, Angle:    15.0000, Votes:         78
41: Distance:  1965.0000, Angle:    55.0000, Votes:         78
42: Distance:  1215.0000, Angle:   185.0000, Votes:         78
43: Distance:  1140.0000, Angle:   185.0000, Votes:         78
44: Distance:  1260.0000, Angle:   185.0000, Votes:         77
45: Distance:  1980.0000, Angle:    60.0000, Votes:         75
46: Distance:  2685.0000, Angle:   105.0000, Votes:         75
47: Distance:  1155.0000, Angle:   185.0000, Votes:         74
48: Distance:  2055.0000, Angle:    15.0000, Votes:         72
49: Distance:  2685.0000, Angle:    95.0000, Votes:         72
